id,type,token,location,code
11,METHODDECLARATION,"calc",Freckles.java(67:2-69:3),"private static double calc(double xi, double xj, double yi, double yj){
		return Math.sqrt((xi-xj)*(xi-xj) + (yi-yj)*(yi-yj));
	}"
12,METHODDECLARATION,"kruskall",Freckles.java(71:2-73:3),"private static void kruskall(){

	}"
13,METHODDECLARATION,"prim",Freckles.java(76:2-112:3),"private static void prim(double graph[][], int no){
		int aux=q;
		LinkedList<Integer> vertices = new LinkedList<Integer>();

		for(int i=0; i<q; i++){
			pred[i]=0;
			dist[i]=Double.MAX_VALUE;
			vertices.add(i);
		}
		dist[no]=0;
		while(vertices.peekFirst()!=null){
			int u = min(vertices);


			// for(int i=0; i<q; i++){
			// 	graph[u][i]=0;		
			// }

			// System.out.println();
			// System.out.println(u + "" no extraido"");
			for(int i=0; i<q; i++){
				// System.out.println();

				if(vertices.indexOf(new Integer(i))!=-1 && graph[u][i]<dist[i]){
					pred[i]=u;
					// System.out.println(""dentro do if "" + graph[u][i]);
					dist[i]=graph[u][i];
					// System.out.println(dist[i]+"" distancia"");
				}
			}


			// print();
			// aux--;
		}

	}"
14,METHODDECLARATION,"min",Freckles.java(114:2-142:3),"private static int min(LinkedList<Integer> graph){

		// for(Integer i: graph){
		// 	System.out.println();
		// 	System.out.println(""graph ""+i);
		// }


		double min = Double.MAX_VALUE;
		int index =0;

		for(Integer i: graph){
			
				if(dist[i]<min){
					index = i;
					min = dist[i];
					// System.out.println(min+"" min"");
				}
			
			
		}

		

		// System.out.println(""min ""+min+"" ""+index);
		// graph[no][index]=0;
		graph.remove(new Integer(index));
		return index;
	}"
15,METHODDECLARATION,"print",Freckles.java(144:2-165:3),"private static void print(){
		// System.out.println();
		// for(int i=0; i<q; i++){
		// 	for(int j=0; j<q; j++){
		// 		System.out.print(matrix[i][j]+"" "");
		// 	}
		// 	System.out.println();
		// }
		// System.out.println();


		for(int i=0; i<q; i++){
			System.out.print(dist[i]+"" "");
		}
		System.out.println();
		
		for(int i=0; i<q; i++){
			System.out.print(pred[i]+"" "");
		}
	

	}"
16,CONSTRUCTORDECLARATION,"Freckles",,""
17,VARIABLEDECLARATION,"this",,""
18,COMPOUNDSTATEMENT,"",Freckles.java(76:52-112:3),"{
		int aux=q;
		LinkedList<Integer> vertices = new LinkedList<Integer>();

		for(int i=0; i<q; i++){
			pred[i]=0;
			dist[i]=Double.MAX_VALUE;
			vertices.add(i);
		}
		dist[no]=0;
		while(vertices.peekFirst()!=null){
			int u = min(vertices);


			// for(int i=0; i<q; i++){
			// 	graph[u][i]=0;		
			// }

			// System.out.println();
			// System.out.println(u + "" no extraido"");
			for(int i=0; i<q; i++){
				// System.out.println();

				if(vertices.indexOf(new Integer(i))!=-1 && graph[u][i]<dist[i]){
					pred[i]=u;
					// System.out.println(""dentro do if "" + graph[u][i]);
					dist[i]=graph[u][i];
					// System.out.println(dist[i]+"" distancia"");
				}
			}


			// print();
			// aux--;
		}

	}"
19,PARAMVARIABLEDECLARATION,"graph",Freckles.java(76:27-76:43),"double graph[][]"
20,PARAMVARIABLEDECLARATION,"no",Freckles.java(76:45-76:51),"int no"
21,DECLAREDREFERENCEEXPRESSION,"Freckles",Freckles.java(77:11-77:12),"Freckles"
22,RETURNSTATEMENT,"",,""
23,DECLARATIONSTATEMENT,"",Freckles.java(77:3-77:13),"int aux=q;"
24,DECLARATIONSTATEMENT,"",Freckles.java(78:3-78:60),"LinkedList<Integer> vertices = new LinkedList<Integer>();"
25,FORSTATEMENT,"",Freckles.java(80:3-84:4),"for(int i=0; i<q; i++){
			pred[i]=0;
			dist[i]=Double.MAX_VALUE;
			vertices.add(i);
		}"
26,BINARYOPERATOR,"=",Freckles.java(85:3-85:14),"dist[no]=0;"
27,WHILESTATEMENT,"",Freckles.java(86:3-110:4),"while(vertices.peekFirst()!=null){
			int u = min(vertices);


			// for(int i=0; i<q; i++){
			// 	graph[u][i]=0;		
			// }

			// System.out.println();
			// System.out.println(u + "" no extraido"");
			for(int i=0; i<q; i++){
				// System.out.println();

				if(vertices.indexOf(new Integer(i))!=-1 && graph[u][i]<dist[i]){
					pred[i]=u;
					// System.out.println(""dentro do if "" + graph[u][i]);
					dist[i]=graph[u][i];
					// System.out.println(dist[i]+"" distancia"");
				}
			}


			// print();
			// aux--;
		}"
28,VARIABLEDECLARATION,"aux",Freckles.java(77:7-77:12),"aux=q"
29,VARIABLEDECLARATION,"vertices",Freckles.java(78:23-78:59),"vertices = new LinkedList<Integer>()"
30,CONSTRUCTEXPRESSION,"",Freckles.java(78:34-78:59),"new LinkedList<Integer>()"
31,MEMBEREXPRESSION,"q",Freckles.java(77:11-77:12),"q"
32,BINARYOPERATOR,"!=",Freckles.java(86:9-86:35),"vertices.peekFirst()!=null"
33,COMPOUNDSTATEMENT,"",Freckles.java(86:36-110:4),"{
			int u = min(vertices);


			// for(int i=0; i<q; i++){
			// 	graph[u][i]=0;		
			// }

			// System.out.println();
			// System.out.println(u + "" no extraido"");
			for(int i=0; i<q; i++){
				// System.out.println();

				if(vertices.indexOf(new Integer(i))!=-1 && graph[u][i]<dist[i]){
					pred[i]=u;
					// System.out.println(""dentro do if "" + graph[u][i]);
					dist[i]=graph[u][i];
					// System.out.println(dist[i]+"" distancia"");
				}
			}


			// print();
			// aux--;
		}"
34,DECLAREDREFERENCEEXPRESSION,"vertices",Freckles.java(87:16-87:24),"vertices"
35,DECLARATIONSTATEMENT,"",Freckles.java(87:4-87:26),"int u = min(vertices);"
36,FORSTATEMENT,"",Freckles.java(96:4-105:5),"for(int i=0; i<q; i++){
				// System.out.println();

				if(vertices.indexOf(new Integer(i))!=-1 && graph[u][i]<dist[i]){
					pred[i]=u;
					// System.out.println(""dentro do if "" + graph[u][i]);
					dist[i]=graph[u][i];
					// System.out.println(dist[i]+"" distancia"");
				}
			}"
37,VARIABLEDECLARATION,"u",Freckles.java(87:8-87:25),"u = min(vertices)"
38,DECLAREDREFERENCEEXPRESSION,"vertices",Freckles.java(86:9-86:17),"vertices"
39,CALLEXPRESSION,"min",Freckles.java(87:12-87:25),"min(vertices)"
40,METHODDECLARATION,"min",,""
41,PARAMVARIABLEDECLARATION,"java.util.linkedlist0",,""
42,COMPOUNDSTATEMENT,"",Freckles.java(96:26-105:5),"{
				// System.out.println();

				if(vertices.indexOf(new Integer(i))!=-1 && graph[u][i]<dist[i]){
					pred[i]=u;
					// System.out.println(""dentro do if "" + graph[u][i]);
					dist[i]=graph[u][i];
					// System.out.println(dist[i]+"" distancia"");
				}
			}"
43,DECLARATIONSTATEMENT,"",Freckles.java(96:8-96:15),"int i=0"
44,BINARYOPERATOR,"<",Freckles.java(96:17-96:20),"i<q"
45,UNARYOPERATOR,"++",Freckles.java(96:22-96:25),"i++"
46,VARIABLEDECLARATION,"i",Freckles.java(96:12-96:15),"i=0"
47,DECLAREDREFERENCEEXPRESSION,"vertices",Freckles.java(99:8-99:16),"vertices"
48,DECLAREDREFERENCEEXPRESSION,"i",Freckles.java(96:22-96:23),"i"
49,DECLAREDREFERENCEEXPRESSION,"i",Freckles.java(96:17-96:18),"i"
50,MEMBEREXPRESSION,"q",Freckles.java(96:19-96:20),"q"
51,DECLAREDREFERENCEEXPRESSION,"Freckles",Freckles.java(96:19-96:20),"Freckles"
52,IFSTATEMENT,"",Freckles.java(99:5-104:6),"if(vertices.indexOf(new Integer(i))!=-1 && graph[u][i]<dist[i]){
					pred[i]=u;
					// System.out.println(""dentro do if "" + graph[u][i]);
					dist[i]=graph[u][i];
					// System.out.println(dist[i]+"" distancia"");
				}"
53,COMPOUNDSTATEMENT,"",Freckles.java(99:68-104:6),"{
					pred[i]=u;
					// System.out.println(""dentro do if "" + graph[u][i]);
					dist[i]=graph[u][i];
					// System.out.println(dist[i]+"" distancia"");
				}"
54,BINARYOPERATOR,"&&",Freckles.java(99:8-99:67),"vertices.indexOf(new Integer(i))!=-1 && graph[u][i]<dist[i]"
55,DECLAREDREFERENCEEXPRESSION,"Freckles",Freckles.java(100:6-100:10),"Freckles"
56,BINARYOPERATOR,"!=",Freckles.java(99:8-99:44),"vertices.indexOf(new Integer(i))!=-1"
57,BINARYOPERATOR,"<",Freckles.java(99:48-99:67),"graph[u][i]<dist[i]"
58,ARRAYSUBSCRIPTIONEXPRESSION,"",Freckles.java(99:48-99:59),"graph[u][i]"
59,ARRAYSUBSCRIPTIONEXPRESSION,"",Freckles.java(99:60-99:67),"dist[i]"
60,MEMBEREXPRESSION,"dist",Freckles.java(99:60-99:64),"dist"
61,DECLAREDREFERENCEEXPRESSION,"i",Freckles.java(99:65-99:66),"i"
62,DECLAREDREFERENCEEXPRESSION,"Freckles",Freckles.java(99:60-99:64),"Freckles"
63,ARRAYSUBSCRIPTIONEXPRESSION,"",Freckles.java(99:48-99:56),"graph[u]"
64,DECLAREDREFERENCEEXPRESSION,"i",Freckles.java(99:57-99:58),"i"
65,DECLAREDREFERENCEEXPRESSION,"graph",Freckles.java(99:48-99:53),"graph"
66,DECLAREDREFERENCEEXPRESSION,"u",Freckles.java(99:54-99:55),"u"
67,MEMBERCALLEXPRESSION,"indexOf",Freckles.java(99:8-99:40),"vertices.indexOf(new Integer(i))"
68,UNARYOPERATOR,"-",Freckles.java(99:42-99:44),"-1"
69,LITERAL,"",Freckles.java(99:43-99:44),"1"
70,DECLAREDREFERENCEEXPRESSION,"indexOf",Freckles.java(99:17-99:24),"indexOf"
71,NEWEXPRESSION,"",Freckles.java(99:25-99:39),"new Integer(i)"
72,CONSTRUCTEXPRESSION,"",Freckles.java(99:25-99:39),"new Integer(i)"
73,DECLAREDREFERENCEEXPRESSION,"i",Freckles.java(99:37-99:38),"i"
74,BINARYOPERATOR,"=",Freckles.java(100:6-100:16),"pred[i]=u;"
75,BINARYOPERATOR,"=",Freckles.java(102:6-102:26),"dist[i]=graph[u][i];"
76,ARRAYSUBSCRIPTIONEXPRESSION,"",Freckles.java(100:6-100:13),"pred[i]"
77,DECLAREDREFERENCEEXPRESSION,"u",Freckles.java(100:14-100:15),"u"
78,DECLAREDREFERENCEEXPRESSION,"Freckles",Freckles.java(102:6-102:10),"Freckles"
79,MEMBEREXPRESSION,"pred",Freckles.java(100:6-100:10),"pred"
80,DECLAREDREFERENCEEXPRESSION,"i",Freckles.java(100:11-100:12),"i"
81,ARRAYSUBSCRIPTIONEXPRESSION,"",Freckles.java(102:6-102:13),"dist[i]"
82,ARRAYSUBSCRIPTIONEXPRESSION,"",Freckles.java(102:14-102:25),"graph[u][i]"
83,MEMBEREXPRESSION,"dist",Freckles.java(102:6-102:10),"dist"
84,DECLAREDREFERENCEEXPRESSION,"i",Freckles.java(102:11-102:12),"i"
85,DECLAREDREFERENCEEXPRESSION,"graph",Freckles.java(102:14-102:19),"graph"
86,ARRAYSUBSCRIPTIONEXPRESSION,"",Freckles.java(102:14-102:22),"graph[u]"
87,DECLAREDREFERENCEEXPRESSION,"i",Freckles.java(102:23-102:24),"i"
88,DECLAREDREFERENCEEXPRESSION,"u",Freckles.java(102:20-102:21),"u"
89,LITERAL,"",Freckles.java(96:14-96:15),"0"
90,MEMBERCALLEXPRESSION,"peekFirst",Freckles.java(86:9-86:29),"vertices.peekFirst()"
91,LITERAL,"",Freckles.java(86:31-86:35),"null"
92,DECLAREDREFERENCEEXPRESSION,"peekFirst",Freckles.java(86:18-86:27),"peekFirst"
93,NEWEXPRESSION,"",Freckles.java(78:34-78:59),"new LinkedList<Integer>()"
94,ARRAYSUBSCRIPTIONEXPRESSION,"",Freckles.java(85:3-85:11),"dist[no]"
95,LITERAL,"",Freckles.java(85:12-85:13),"0"
96,MEMBEREXPRESSION,"dist",Freckles.java(85:3-85:7),"dist"
97,DECLAREDREFERENCEEXPRESSION,"no",Freckles.java(85:8-85:10),"no"
98,DECLAREDREFERENCEEXPRESSION,"Freckles",Freckles.java(85:3-85:7),"Freckles"
99,COMPOUNDSTATEMENT,"",Freckles.java(80:25-84:4),"{
			pred[i]=0;
			dist[i]=Double.MAX_VALUE;
			vertices.add(i);
		}"
100,DECLARATIONSTATEMENT,"",Freckles.java(80:7-80:14),"int i=0"
101,BINARYOPERATOR,"<",Freckles.java(80:16-80:19),"i<q"
102,UNARYOPERATOR,"++",Freckles.java(80:21-80:24),"i++"
103,VARIABLEDECLARATION,"i",Freckles.java(80:11-80:14),"i=0"
104,DECLAREDREFERENCEEXPRESSION,"Freckles",Freckles.java(81:4-81:8),"Freckles"
105,DECLAREDREFERENCEEXPRESSION,"i",Freckles.java(80:16-80:17),"i"
106,MEMBEREXPRESSION,"q",Freckles.java(80:18-80:19),"q"
107,DECLAREDREFERENCEEXPRESSION,"Freckles",Freckles.java(80:18-80:19),"Freckles"
108,BINARYOPERATOR,"=",Freckles.java(81:4-81:14),"pred[i]=0;"
109,BINARYOPERATOR,"=",Freckles.java(82:4-82:29),"dist[i]=Double.MAX_VALUE;"
110,MEMBERCALLEXPRESSION,"add",Freckles.java(83:4-83:20),"vertices.add(i);"
111,DECLAREDREFERENCEEXPRESSION,"i",Freckles.java(80:21-80:22),"i"
112,DECLAREDREFERENCEEXPRESSION,"add",Freckles.java(83:13-83:16),"add"
113,DECLAREDREFERENCEEXPRESSION,"i",Freckles.java(83:17-83:18),"i"
114,DECLAREDREFERENCEEXPRESSION,"vertices",Freckles.java(83:4-83:12),"vertices"
115,ARRAYSUBSCRIPTIONEXPRESSION,"",Freckles.java(82:4-82:11),"dist[i]"
116,MEMBEREXPRESSION,"MAX_VALUE",Freckles.java(82:12-82:28),"Double.MAX_VALUE"
117,DECLAREDREFERENCEEXPRESSION,"Double",Freckles.java(82:12-82:18),"Double"
118,MEMBEREXPRESSION,"dist",Freckles.java(82:4-82:8),"dist"
119,DECLAREDREFERENCEEXPRESSION,"i",Freckles.java(82:9-82:10),"i"
120,DECLAREDREFERENCEEXPRESSION,"Freckles",Freckles.java(82:4-82:8),"Freckles"
121,ARRAYSUBSCRIPTIONEXPRESSION,"",Freckles.java(81:4-81:11),"pred[i]"
122,LITERAL,"",Freckles.java(81:12-81:13),"0"
123,MEMBEREXPRESSION,"pred",Freckles.java(81:4-81:8),"pred"
124,DECLAREDREFERENCEEXPRESSION,"i",Freckles.java(81:9-81:10),"i"
125,LITERAL,"",Freckles.java(80:13-80:14),"0"
126,VARIABLEDECLARATION,"this",,""
127,COMPOUNDSTATEMENT,"",Freckles.java(67:72-69:3),"{
		return Math.sqrt((xi-xj)*(xi-xj) + (yi-yj)*(yi-yj));
	}"
128,PARAMVARIABLEDECLARATION,"xi",Freckles.java(67:29-67:38),"double xi"
129,PARAMVARIABLEDECLARATION,"xj",Freckles.java(67:40-67:49),"double xj"
130,PARAMVARIABLEDECLARATION,"yi",Freckles.java(67:51-67:60),"double yi"
131,PARAMVARIABLEDECLARATION,"yj",Freckles.java(67:62-67:71),"double yj"
132,DECLAREDREFERENCEEXPRESSION,"xi",Freckles.java(68:21-68:23),"xi"
133,RETURNSTATEMENT,"",Freckles.java(68:3-68:55),"return Math.sqrt((xi-xj)*(xi-xj) + (yi-yj)*(yi-yj));"
134,STATICCALLEXPRESSION,"sqrt",Freckles.java(68:10-68:54),"Math.sqrt((xi-xj)*(xi-xj) + (yi-yj)*(yi-yj))"
135,BINARYOPERATOR,"+",Freckles.java(68:20-68:53),"(xi-xj)*(xi-xj) + (yi-yj)*(yi-yj)"
136,BINARYOPERATOR,"*",Freckles.java(68:20-68:35),"(xi-xj)*(xi-xj)"
137,BINARYOPERATOR,"*",Freckles.java(68:38-68:53),"(yi-yj)*(yi-yj)"
138,BINARYOPERATOR,"-",Freckles.java(68:39-68:44),"yi-yj"
139,BINARYOPERATOR,"-",Freckles.java(68:47-68:52),"yi-yj"
140,DECLAREDREFERENCEEXPRESSION,"yi",Freckles.java(68:47-68:49),"yi"
141,DECLAREDREFERENCEEXPRESSION,"yj",Freckles.java(68:50-68:52),"yj"
142,DECLAREDREFERENCEEXPRESSION,"yi",Freckles.java(68:39-68:41),"yi"
143,DECLAREDREFERENCEEXPRESSION,"yj",Freckles.java(68:42-68:44),"yj"
144,BINARYOPERATOR,"-",Freckles.java(68:21-68:26),"xi-xj"
145,BINARYOPERATOR,"-",Freckles.java(68:29-68:34),"xi-xj"
146,DECLAREDREFERENCEEXPRESSION,"xi",Freckles.java(68:29-68:31),"xi"
147,DECLAREDREFERENCEEXPRESSION,"xj",Freckles.java(68:32-68:34),"xj"
148,DECLAREDREFERENCEEXPRESSION,"xj",Freckles.java(68:24-68:26),"xj"
149,VARIABLEDECLARATION,"this",,""
150,COMPOUNDSTATEMENT,"",Freckles.java(71:32-73:3),"{

	}"
151,RETURNSTATEMENT,"",,""
152,VARIABLEDECLARATION,"this",,""
153,COMPOUNDSTATEMENT,"",Freckles.java(20:41-65:3),"{
		Scanner in = new Scanner(System.in).useLocale(Locale.US);

		int n = q = in.nextInt();

		matrix = new double[n][n];

		visited = new boolean[n][n];

		dist = new double[n];

		pred = new int[n];

		double coordinates[][] = new double[n][2];


		for(int i = 0; i<n; i++){
			double x = in.nextDouble();
			double y = in.nextDouble();
			coordinates[i][0] = x;
			coordinates[i][1] = y;
		}

		for(int i = 0; i<n; i++){
			for (int j=i; j<n; j++) {
				if(i!=j){
					matrix[j][i]= matrix[i][j] = calc(coordinates[i][0], coordinates[j][0], coordinates[i][1], coordinates[j][1]);
				}
				
			}
		}
		

		prim(matrix, 0);


		// print();

		// System.out.println();
		double sum=0;
		for(int i=0; i<n; i++){
			sum+=dist[i];
			// System.out.println(sum);
		}
		System.out.printf(Locale.US, ""%.2f\n"", sum);
	}"
154,PARAMVARIABLEDECLARATION,"args",Freckles.java(20:26-20:39),"String[] args"
155,DECLAREDREFERENCEEXPRESSION,"System",Freckles.java(21:28-21:34),"System"
156,RETURNSTATEMENT,"",,""
157,DECLARATIONSTATEMENT,"",Freckles.java(21:3-21:60),"Scanner in = new Scanner(System.in).useLocale(Locale.US);"
158,DECLARATIONSTATEMENT,"",Freckles.java(23:3-23:28),"int n = q = in.nextInt();"
159,BINARYOPERATOR,"=",Freckles.java(25:3-25:29),"matrix = new double[n][n];"
160,BINARYOPERATOR,"=",Freckles.java(27:3-27:31),"visited = new boolean[n][n];"
161,BINARYOPERATOR,"=",Freckles.java(29:3-29:24),"dist = new double[n];"
162,BINARYOPERATOR,"=",Freckles.java(31:3-31:21),"pred = new int[n];"
163,DECLARATIONSTATEMENT,"",Freckles.java(33:3-33:45),"double coordinates[][] = new double[n][2];"
164,FORSTATEMENT,"",Freckles.java(36:3-41:4),"for(int i = 0; i<n; i++){
			double x = in.nextDouble();
			double y = in.nextDouble();
			coordinates[i][0] = x;
			coordinates[i][1] = y;
		}"
165,FORSTATEMENT,"",Freckles.java(43:3-50:4),"for(int i = 0; i<n; i++){
			for (int j=i; j<n; j++) {
				if(i!=j){
					matrix[j][i]= matrix[i][j] = calc(coordinates[i][0], coordinates[j][0], coordinates[i][1], coordinates[j][1]);
				}
				
			}
		}"
166,CALLEXPRESSION,"prim",Freckles.java(53:3-53:19),"prim(matrix, 0);"
167,DECLARATIONSTATEMENT,"",Freckles.java(59:3-59:16),"double sum=0;"
168,FORSTATEMENT,"",Freckles.java(60:3-63:4),"for(int i=0; i<n; i++){
			sum+=dist[i];
			// System.out.println(sum);
		}"
169,MEMBERCALLEXPRESSION,"printf",Freckles.java(64:3-64:47),"System.out.printf(Locale.US, ""%.2f\n"", sum);"
170,VARIABLEDECLARATION,"in",Freckles.java(21:11-21:59),"in = new Scanner(System.in).useLocale(Locale.US)"
171,VARIABLEDECLARATION,"n",Freckles.java(23:7-23:27),"n = q = in.nextInt()"
172,VARIABLEDECLARATION,"coordinates",Freckles.java(33:10-33:44),"coordinates[][] = new double[n][2]"
173,VARIABLEDECLARATION,"sum",Freckles.java(59:10-59:15),"sum=0"
174,MEMBERCALLEXPRESSION,"useLocale",Freckles.java(21:16-21:59),"new Scanner(System.in).useLocale(Locale.US)"
175,DECLAREDREFERENCEEXPRESSION,"useLocale",Freckles.java(21:39-21:48),"useLocale"
176,MEMBEREXPRESSION,"US",Freckles.java(21:49-21:58),"Locale.US"
177,NEWEXPRESSION,"",Freckles.java(21:16-21:38),"new Scanner(System.in)"
178,CONSTRUCTEXPRESSION,"",Freckles.java(21:16-21:38),"new Scanner(System.in)"
179,DECLAREDREFERENCEEXPRESSION,"Locale",Freckles.java(21:49-21:55),"Locale"
180,MEMBEREXPRESSION,"in",Freckles.java(21:28-21:37),"System.in"
181,LITERAL,"",Freckles.java(60:13-60:14),"0"
182,COMPOUNDSTATEMENT,"",Freckles.java(43:27-50:4),"{
			for (int j=i; j<n; j++) {
				if(i!=j){
					matrix[j][i]= matrix[i][j] = calc(coordinates[i][0], coordinates[j][0], coordinates[i][1], coordinates[j][1]);
				}
				
			}
		}"
183,DECLARATIONSTATEMENT,"",Freckles.java(43:7-43:16),"int i = 0"
184,BINARYOPERATOR,"<",Freckles.java(43:18-43:21),"i<n"
185,UNARYOPERATOR,"++",Freckles.java(43:23-43:26),"i++"
186,VARIABLEDECLARATION,"i",Freckles.java(43:11-43:16),"i = 0"
187,DECLAREDREFERENCEEXPRESSION,"i",Freckles.java(44:15-44:16),"i"
188,DECLAREDREFERENCEEXPRESSION,"Freckles",Freckles.java(53:8-53:14),"Freckles"
189,LITERAL,"",Freckles.java(43:15-43:16),"0"
190,FORSTATEMENT,"",Freckles.java(44:4-49:5),"for (int j=i; j<n; j++) {
				if(i!=j){
					matrix[j][i]= matrix[i][j] = calc(coordinates[i][0], coordinates[j][0], coordinates[i][1], coordinates[j][1]);
				}
				
			}"
191,DECLAREDREFERENCEEXPRESSION,"i",Freckles.java(43:23-43:24),"i"
192,COMPOUNDSTATEMENT,"",Freckles.java(44:28-49:5),"{
				if(i!=j){
					matrix[j][i]= matrix[i][j] = calc(coordinates[i][0], coordinates[j][0], coordinates[i][1], coordinates[j][1]);
				}
				
			}"
193,DECLARATIONSTATEMENT,"",Freckles.java(44:9-44:16),"int j=i"
194,BINARYOPERATOR,"<",Freckles.java(44:18-44:21),"j<n"
195,UNARYOPERATOR,"++",Freckles.java(44:23-44:26),"j++"
196,VARIABLEDECLARATION,"j",Freckles.java(44:13-44:16),"j=i"
197,DECLAREDREFERENCEEXPRESSION,"i",Freckles.java(45:8-45:9),"i"
198,DECLAREDREFERENCEEXPRESSION,"j",Freckles.java(44:18-44:19),"j"
199,DECLAREDREFERENCEEXPRESSION,"n",Freckles.java(44:20-44:21),"n"
200,IFSTATEMENT,"",Freckles.java(45:5-47:6),"if(i!=j){
					matrix[j][i]= matrix[i][j] = calc(coordinates[i][0], coordinates[j][0], coordinates[i][1], coordinates[j][1]);
				}"
201,DECLAREDREFERENCEEXPRESSION,"j",Freckles.java(44:23-44:24),"j"
202,COMPOUNDSTATEMENT,"",Freckles.java(45:13-47:6),"{
					matrix[j][i]= matrix[i][j] = calc(coordinates[i][0], coordinates[j][0], coordinates[i][1], coordinates[j][1]);
				}"
203,BINARYOPERATOR,"!=",Freckles.java(45:8-45:12),"i!=j"
204,DECLAREDREFERENCEEXPRESSION,"Freckles",Freckles.java(46:6-46:12),"Freckles"
205,BINARYOPERATOR,"=",Freckles.java(46:6-46:116),"matrix[j][i]= matrix[i][j] = calc(coordinates[i][0], coordinates[j][0], coordinates[i][1], coordinates[j][1]);"
206,ARRAYSUBSCRIPTIONEXPRESSION,"",Freckles.java(46:6-46:18),"matrix[j][i]"
