id,type,token,location,code
21,BINARYOPERATOR,"=",twentyfour.java(15:3-15:10),"y = y1;"
22,BINARYOPERATOR,"=",twentyfour.java(16:3-16:19),"dist = 999999.0;"
23,BINARYOPERATOR,"=",twentyfour.java(17:3-17:17),"uspai = false;"
24,BINARYOPERATOR,"=",twentyfour.java(18:3-18:14),"pai = null;"
25,BINARYOPERATOR,"=",twentyfour.java(19:3-19:28),"adj=new LinkedList<no>();"
26,MEMBEREXPRESSION,"pai",twentyfour.java(18:3-18:6),"pai"
27,LITERAL,"",twentyfour.java(18:9-18:13),"null"
28,DECLAREDREFERENCEEXPRESSION,"this",twentyfour.java(19:3-19:6),"this"
29,DECLAREDREFERENCEEXPRESSION,"this",twentyfour.java(18:3-18:6),"this"
30,MEMBEREXPRESSION,"dist",twentyfour.java(16:3-16:7),"dist"
31,LITERAL,"",twentyfour.java(16:10-16:18),"999999.0"
32,DECLAREDREFERENCEEXPRESSION,"this",twentyfour.java(17:3-17:8),"this"
33,DECLAREDREFERENCEEXPRESSION,"this",twentyfour.java(16:3-16:7),"this"
34,MEMBEREXPRESSION,"adj",twentyfour.java(19:3-19:6),"adj"
35,NEWEXPRESSION,"",twentyfour.java(19:7-19:27),"new LinkedList<no>()"
36,CONSTRUCTEXPRESSION,"",twentyfour.java(19:7-19:27),"new LinkedList<no>()"
37,MEMBEREXPRESSION,"x",twentyfour.java(14:3-14:4),"x"
38,DECLAREDREFERENCEEXPRESSION,"x1",twentyfour.java(14:7-14:9),"x1"
39,DECLAREDREFERENCEEXPRESSION,"this",twentyfour.java(15:3-15:4),"this"
40,MEMBEREXPRESSION,"uspai",twentyfour.java(17:3-17:8),"uspai"
41,LITERAL,"",twentyfour.java(17:11-17:16),"false"
42,MEMBEREXPRESSION,"y",twentyfour.java(15:3-15:4),"y"
43,DECLAREDREFERENCEEXPRESSION,"y1",twentyfour.java(15:7-15:9),"y1"
44,FIELDDECLARATION,"this",,""
45,METHODDECLARATION,"prim",twentyfour.java(33:2-67:3),"public static void prim(graf g, no r) {
		
		r.dist = 0;
		LinkedList<no> q = new LinkedList<no>();
		LinkedList<no> caminho = new LinkedList<no>();
		for (no n:g.v)
			q.add(n);
		
		caminho.add(r);

		
		while (!q.isEmpty()) {
			
			int index= extrair(q,caminho);
			no u = q.remove(index-1);
			
			//System.out.println(index);
			
			//System.out.println(q.toString() + "" ""+ caminho.toString());
			
			double dist = 9999999.0;
			for (no adj:caminho)
				if (adj != u) {
					dist = Math.sqrt(((adj.x - u.x) * (adj.x - u.x))
							+ ((adj.y - u.y) * (adj.y - u.y)));

					if (dist < u.dist) {
						u.dist = dist;
						u.pai = u;
					}
					
				}
			caminho.add(u);
		}
	}"
46,METHODDECLARATION,"extrair",twentyfour.java(69:2-89:3),"private static int extrair(List<no> q, List<no> cam) {
		
		double dist=99999999.0;
		int i=0;
		int index=i;
		for(no q2:q){
			i++;
			for(no cami:cam){
				//double dist2=99999.0;
				//if(q2!=cami){
					double dist2 = Math.sqrt(((cami.x - q2.x) * (cami.x - q2.x))
							+ ((cami.y - q2.y) * (cami.y - q2.y)));
					if(dist2<dist){
						dist=dist2;
						index=i;
					}
				//}
			}
		}
		return index;
	}"
47,METHODDECLARATION,"main",twentyfour.java(91:2-125:3),"public static void main(String[] args) {

		@SuppressWarnings(""resource"")
		Scanner in = new Scanner(System.in);
		int n = in.nextInt();
		double count = 0;
		graf g = new graf();
		for (int i = 0; i < n; i++){
			g.v.add(new no(in.nextDouble(), in.nextDouble()));
			//for(no temp:g.v)
				//g.v.get(i).adj.add(temp);
			/*for(no adjs:g.v.get(i).adj){
				double dist = Math.sqrt(((adjs.x - g.v.get(i).x) * (adjs.x - g.v.get(i).x)) + ((adjs.y - g.v.get(i).y) * (adjs.y - g.v.get(i).y)));
				if(dist>0 && dist<g.v.get(i).dist)
					g.v.get(i).dist=dist;
				*/	
			//}
		}
		
		//for (int i = 0; i < n; i++)
			//System.out.print("" ++++ "" +g.v.get(i));
		
		prim(g, g.v.get(0));
		
		//for (int i = 0; i < n; i++)
			//System.out.println(""\n\n""+g.v.get(i)+"" "" +g.v.get(i).dist + "" ""+ g.v.get(i).pai);
		
		for (int i = 0; i < n; i++)
			if (!g.v.get(i).uspai) {
				//System.out.println(g.v.get(i).dist);
				count += g.v.get(i).dist;
				g.v.get(i).uspai = true;
			}
		System.out.println(String.format(""%.2f"", count));
	}"
48,CONSTRUCTORDECLARATION,"twentyfour",,""
49,VARIABLEDECLARATION,"this",,""
50,COMPOUNDSTATEMENT,"",twentyfour.java(69:55-89:3),"{
		
		double dist=99999999.0;
		int i=0;
		int index=i;
		for(no q2:q){
			i++;
			for(no cami:cam){
				//double dist2=99999.0;
				//if(q2!=cami){
					double dist2 = Math.sqrt(((cami.x - q2.x) * (cami.x - q2.x))
							+ ((cami.y - q2.y) * (cami.y - q2.y)));
					if(dist2<dist){
						dist=dist2;
						index=i;
					}
				//}
			}
		}
		return index;
	}"
51,PARAMVARIABLEDECLARATION,"q",twentyfour.java(69:29-69:39),"List<no> q"
52,PARAMVARIABLEDECLARATION,"cam",twentyfour.java(69:41-69:53),"List<no> cam"
53,LITERAL,"",twentyfour.java(71:15-71:25),"99999999.0"
54,RETURNSTATEMENT,"",twentyfour.java(88:3-88:16),"return index;"
55,DECLARATIONSTATEMENT,"",twentyfour.java(71:3-71:26),"double dist=99999999.0;"
56,DECLARATIONSTATEMENT,"",twentyfour.java(72:3-72:11),"int i=0;"
57,DECLARATIONSTATEMENT,"",twentyfour.java(73:3-73:15),"int index=i;"
58,FOREACHSTATEMENT,"",twentyfour.java(74:3-87:4),"for(no q2:q){
			i++;
			for(no cami:cam){
				//double dist2=99999.0;
				//if(q2!=cami){
					double dist2 = Math.sqrt(((cami.x - q2.x) * (cami.x - q2.x))
							+ ((cami.y - q2.y) * (cami.y - q2.y)));
					if(dist2<dist){
						dist=dist2;
						index=i;
					}
				//}
			}
		}"
59,VARIABLEDECLARATION,"dist",twentyfour.java(71:10-71:25),"dist=99999999.0"
60,VARIABLEDECLARATION,"i",twentyfour.java(72:7-72:10),"i=0"
61,VARIABLEDECLARATION,"index",twentyfour.java(73:7-73:14),"index=i"
62,DECLAREDREFERENCEEXPRESSION,"q",twentyfour.java(74:13-74:14),"q"
63,DECLAREDREFERENCEEXPRESSION,"index",twentyfour.java(88:10-88:15),"index"
64,DECLAREDREFERENCEEXPRESSION,"i",twentyfour.java(73:13-73:14),"i"
65,LITERAL,"",twentyfour.java(72:9-72:10),"0"
66,DECLARATIONSTATEMENT,"",twentyfour.java(74:7-74:12),"no q2"
67,COMPOUNDSTATEMENT,"",twentyfour.java(74:15-87:4),"{
			i++;
			for(no cami:cam){
				//double dist2=99999.0;
				//if(q2!=cami){
					double dist2 = Math.sqrt(((cami.x - q2.x) * (cami.x - q2.x))
							+ ((cami.y - q2.y) * (cami.y - q2.y)));
					if(dist2<dist){
						dist=dist2;
						index=i;
					}
				//}
			}
		}"
68,VARIABLEDECLARATION,"q2",twentyfour.java(74:10-74:12),"q2"
69,DECLAREDREFERENCEEXPRESSION,"i",twentyfour.java(75:4-75:5),"i"
70,UNINITIALIZEDVALUE,"Uninitialized Value",,""
71,UNARYOPERATOR,"++",twentyfour.java(75:4-75:8),"i++;"
72,FOREACHSTATEMENT,"",twentyfour.java(76:4-86:5),"for(no cami:cam){
				//double dist2=99999.0;
				//if(q2!=cami){
					double dist2 = Math.sqrt(((cami.x - q2.x) * (cami.x - q2.x))
							+ ((cami.y - q2.y) * (cami.y - q2.y)));
					if(dist2<dist){
						dist=dist2;
						index=i;
					}
				//}
			}"
73,DECLAREDREFERENCEEXPRESSION,"cam",twentyfour.java(76:16-76:19),"cam"
74,DECLARATIONSTATEMENT,"",twentyfour.java(76:8-76:15),"no cami"
75,COMPOUNDSTATEMENT,"",twentyfour.java(76:20-86:5),"{
				//double dist2=99999.0;
				//if(q2!=cami){
					double dist2 = Math.sqrt(((cami.x - q2.x) * (cami.x - q2.x))
							+ ((cami.y - q2.y) * (cami.y - q2.y)));
					if(dist2<dist){
						dist=dist2;
						index=i;
					}
				//}
			}"
76,VARIABLEDECLARATION,"cami",twentyfour.java(76:11-76:15),"cami"
77,DECLAREDREFERENCEEXPRESSION,"cami",twentyfour.java(79:33-79:37),"cami"
78,UNINITIALIZEDVALUE,"Uninitialized Value",,""
79,DECLARATIONSTATEMENT,"",twentyfour.java(79:6-80:47),"double dist2 = Math.sqrt(((cami.x - q2.x) * (cami.x - q2.x))
							+ ((cami.y - q2.y) * (cami.y - q2.y)));"
80,IFSTATEMENT,"",twentyfour.java(81:6-84:7),"if(dist2<dist){
						dist=dist2;
						index=i;
					}"
81,VARIABLEDECLARATION,"dist2",twentyfour.java(79:13-80:46),"dist2 = Math.sqrt(((cami.x - q2.x) * (cami.x - q2.x))
							+ ((cami.y - q2.y) * (cami.y - q2.y)))"
82,COMPOUNDSTATEMENT,"",twentyfour.java(81:20-84:7),"{
						dist=dist2;
						index=i;
					}"
83,BINARYOPERATOR,"<",twentyfour.java(81:9-81:19),"dist2<dist"
84,DECLAREDREFERENCEEXPRESSION,"dist",twentyfour.java(82:7-82:11),"dist"
85,DECLAREDREFERENCEEXPRESSION,"dist2",twentyfour.java(81:9-81:14),"dist2"
86,DECLAREDREFERENCEEXPRESSION,"dist",twentyfour.java(81:15-81:19),"dist"
87,BINARYOPERATOR,"=",twentyfour.java(82:7-82:18),"dist=dist2;"
88,BINARYOPERATOR,"=",twentyfour.java(83:7-83:15),"index=i;"
89,DECLAREDREFERENCEEXPRESSION,"index",twentyfour.java(83:7-83:12),"index"
90,DECLAREDREFERENCEEXPRESSION,"i",twentyfour.java(83:13-83:14),"i"
91,DECLAREDREFERENCEEXPRESSION,"dist2",twentyfour.java(82:12-82:17),"dist2"
92,STATICCALLEXPRESSION,"sqrt",twentyfour.java(79:21-80:46),"Math.sqrt(((cami.x - q2.x) * (cami.x - q2.x))
							+ ((cami.y - q2.y) * (cami.y - q2.y)))"
93,BINARYOPERATOR,"+",twentyfour.java(79:31-80:45),"((cami.x - q2.x) * (cami.x - q2.x))
							+ ((cami.y - q2.y) * (cami.y - q2.y))"
94,BINARYOPERATOR,"*",twentyfour.java(79:32-79:65),"(cami.x - q2.x) * (cami.x - q2.x)"
95,BINARYOPERATOR,"*",twentyfour.java(80:11-80:44),"(cami.y - q2.y) * (cami.y - q2.y)"
96,BINARYOPERATOR,"-",twentyfour.java(79:33-79:46),"cami.x - q2.x"
97,BINARYOPERATOR,"-",twentyfour.java(79:51-79:64),"cami.x - q2.x"
98,DECLAREDREFERENCEEXPRESSION,"cami",twentyfour.java(80:12-80:16),"cami"
99,MEMBEREXPRESSION,"x",twentyfour.java(79:33-79:39),"cami.x"
100,MEMBEREXPRESSION,"x",twentyfour.java(79:42-79:46),"q2.x"
101,DECLAREDREFERENCEEXPRESSION,"cami",twentyfour.java(79:51-79:55),"cami"
102,DECLAREDREFERENCEEXPRESSION,"q2",twentyfour.java(79:42-79:44),"q2"
103,MEMBEREXPRESSION,"x",twentyfour.java(79:51-79:57),"cami.x"
104,MEMBEREXPRESSION,"x",twentyfour.java(79:60-79:64),"q2.x"
105,DECLAREDREFERENCEEXPRESSION,"q2",twentyfour.java(79:60-79:62),"q2"
106,BINARYOPERATOR,"-",twentyfour.java(80:12-80:25),"cami.y - q2.y"
107,BINARYOPERATOR,"-",twentyfour.java(80:30-80:43),"cami.y - q2.y"
108,MEMBEREXPRESSION,"y",twentyfour.java(80:30-80:36),"cami.y"
109,MEMBEREXPRESSION,"y",twentyfour.java(80:39-80:43),"q2.y"
110,DECLAREDREFERENCEEXPRESSION,"cami",twentyfour.java(80:30-80:34),"cami"
111,DECLAREDREFERENCEEXPRESSION,"q2",twentyfour.java(80:39-80:41),"q2"
112,MEMBEREXPRESSION,"y",twentyfour.java(80:12-80:18),"cami.y"
113,MEMBEREXPRESSION,"y",twentyfour.java(80:21-80:25),"q2.y"
114,DECLAREDREFERENCEEXPRESSION,"q2",twentyfour.java(80:21-80:23),"q2"
115,VARIABLEDECLARATION,"this",,""
116,COMPOUNDSTATEMENT,"",twentyfour.java(91:41-125:3),"{

		@SuppressWarnings(""resource"")
		Scanner in = new Scanner(System.in);
		int n = in.nextInt();
		double count = 0;
		graf g = new graf();
		for (int i = 0; i < n; i++){
			g.v.add(new no(in.nextDouble(), in.nextDouble()));
			//for(no temp:g.v)
				//g.v.get(i).adj.add(temp);
			/*for(no adjs:g.v.get(i).adj){
				double dist = Math.sqrt(((adjs.x - g.v.get(i).x) * (adjs.x - g.v.get(i).x)) + ((adjs.y - g.v.get(i).y) * (adjs.y - g.v.get(i).y)));
				if(dist>0 && dist<g.v.get(i).dist)
					g.v.get(i).dist=dist;
				*/	
			//}
		}
		
		//for (int i = 0; i < n; i++)
			//System.out.print("" ++++ "" +g.v.get(i));
		
		prim(g, g.v.get(0));
		
		//for (int i = 0; i < n; i++)
			//System.out.println(""\n\n""+g.v.get(i)+"" "" +g.v.get(i).dist + "" ""+ g.v.get(i).pai);
		
		for (int i = 0; i < n; i++)
			if (!g.v.get(i).uspai) {
				//System.out.println(g.v.get(i).dist);
				count += g.v.get(i).dist;
				g.v.get(i).uspai = true;
			}
		System.out.println(String.format(""%.2f"", count));
	}"
117,PARAMVARIABLEDECLARATION,"args",twentyfour.java(91:26-91:39),"String[] args"
118,DECLAREDREFERENCEEXPRESSION,"System",twentyfour.java(94:28-94:34),"System"
119,RETURNSTATEMENT,"",,""
120,DECLARATIONSTATEMENT,"",twentyfour.java(93:3-94:39),"@SuppressWarnings(""resource"")
		Scanner in = new Scanner(System.in);"
121,DECLARATIONSTATEMENT,"",twentyfour.java(95:3-95:24),"int n = in.nextInt();"
122,DECLARATIONSTATEMENT,"",twentyfour.java(96:3-96:20),"double count = 0;"
123,DECLARATIONSTATEMENT,"",twentyfour.java(97:3-97:23),"graf g = new graf();"
124,FORSTATEMENT,"",twentyfour.java(98:3-108:4),"for (int i = 0; i < n; i++){
			g.v.add(new no(in.nextDouble(), in.nextDouble()));
			//for(no temp:g.v)
				//g.v.get(i).adj.add(temp);
			/*for(no adjs:g.v.get(i).adj){
				double dist = Math.sqrt(((adjs.x - g.v.get(i).x) * (adjs.x - g.v.get(i).x)) + ((adjs.y - g.v.get(i).y) * (adjs.y - g.v.get(i).y)));
				if(dist>0 && dist<g.v.get(i).dist)
					g.v.get(i).dist=dist;
				*/	
			//}
		}"
125,CALLEXPRESSION,"prim",twentyfour.java(113:3-113:23),"prim(g, g.v.get(0));"
126,FORSTATEMENT,"",twentyfour.java(118:3-123:5),"for (int i = 0; i < n; i++)
			if (!g.v.get(i).uspai) {
				//System.out.println(g.v.get(i).dist);
				count += g.v.get(i).dist;
				g.v.get(i).uspai = true;
			}"
127,MEMBERCALLEXPRESSION,"println",twentyfour.java(124:3-124:52),"System.out.println(String.format(""%.2f"", count));"
128,VARIABLEDECLARATION,"in",twentyfour.java(94:11-94:38),"in = new Scanner(System.in)"
129,VARIABLEDECLARATION,"n",twentyfour.java(95:7-95:23),"n = in.nextInt()"
130,VARIABLEDECLARATION,"count",twentyfour.java(96:10-96:19),"count = 0"
131,VARIABLEDECLARATION,"g",twentyfour.java(97:8-97:22),"g = new graf()"
132,LITERAL,"",twentyfour.java(96:18-96:19),"0"
133,IFSTATEMENT,"",twentyfour.java(119:4-123:5),"if (!g.v.get(i).uspai) {
				//System.out.println(g.v.get(i).dist);
				count += g.v.get(i).dist;
				g.v.get(i).uspai = true;
			}"
134,DECLARATIONSTATEMENT,"",twentyfour.java(118:8-118:17),"int i = 0"
135,BINARYOPERATOR,"<",twentyfour.java(118:19-118:24),"i < n"
136,UNARYOPERATOR,"++",twentyfour.java(118:26-118:29),"i++"
137,VARIABLEDECLARATION,"i",twentyfour.java(118:12-118:17),"i = 0"
138,DECLAREDREFERENCEEXPRESSION,"g",twentyfour.java(119:9-119:10),"g"
139,DECLAREDREFERENCEEXPRESSION,"System",twentyfour.java(124:3-124:9),"System"
140,LITERAL,"",twentyfour.java(118:16-118:17),"0"
141,DECLAREDREFERENCEEXPRESSION,"i",twentyfour.java(118:19-118:20),"i"
142,UNARYOPERATOR,"!",twentyfour.java(119:8-119:25),"!g.v.get(i).uspai"
143,COMPOUNDSTATEMENT,"",twentyfour.java(119:27-123:5),"{
				//System.out.println(g.v.get(i).dist);
				count += g.v.get(i).dist;
				g.v.get(i).uspai = true;
			}"
144,DECLAREDREFERENCEEXPRESSION,"count",twentyfour.java(121:5-121:10),"count"
145,DECLAREDREFERENCEEXPRESSION,"i",twentyfour.java(118:26-118:27),"i"
146,MEMBEREXPRESSION,"uspai",twentyfour.java(119:9-119:25),"g.v.get(i).uspai"
147,MEMBERCALLEXPRESSION,"get",twentyfour.java(119:9-119:19),"g.v.get(i)"
148,DECLAREDREFERENCEEXPRESSION,"get",twentyfour.java(119:13-119:16),"get"
149,DECLAREDREFERENCEEXPRESSION,"i",twentyfour.java(119:17-119:18),"i"
150,MEMBEREXPRESSION,"v",twentyfour.java(119:9-119:12),"g.v"
151,BINARYOPERATOR,"+=",twentyfour.java(121:5-121:30),"count += g.v.get(i).dist;"
152,BINARYOPERATOR,"=",twentyfour.java(122:5-122:29),"g.v.get(i).uspai = true;"
153,MEMBEREXPRESSION,"dist",twentyfour.java(121:14-121:29),"g.v.get(i).dist"
154,DECLAREDREFERENCEEXPRESSION,"g",twentyfour.java(122:5-122:6),"g"
155,DECLAREDREFERENCEEXPRESSION,"g",twentyfour.java(121:14-121:15),"g"
156,MEMBERCALLEXPRESSION,"get",twentyfour.java(121:14-121:24),"g.v.get(i)"
157,DECLAREDREFERENCEEXPRESSION,"get",twentyfour.java(121:18-121:21),"get"
158,DECLAREDREFERENCEEXPRESSION,"i",twentyfour.java(121:22-121:23),"i"
159,MEMBEREXPRESSION,"v",twentyfour.java(121:14-121:17),"g.v"
160,MEMBEREXPRESSION,"uspai",twentyfour.java(122:5-122:21),"g.v.get(i).uspai"
161,LITERAL,"",twentyfour.java(122:24-122:28),"true"
162,MEMBERCALLEXPRESSION,"get",twentyfour.java(122:5-122:15),"g.v.get(i)"
163,DECLAREDREFERENCEEXPRESSION,"get",twentyfour.java(122:9-122:12),"get"
164,DECLAREDREFERENCEEXPRESSION,"i",twentyfour.java(122:13-122:14),"i"
165,MEMBEREXPRESSION,"v",twentyfour.java(122:5-122:8),"g.v"
166,DECLAREDREFERENCEEXPRESSION,"n",twentyfour.java(118:23-118:24),"n"
167,COMPOUNDSTATEMENT,"",twentyfour.java(98:30-108:4),"{
			g.v.add(new no(in.nextDouble(), in.nextDouble()));
			//for(no temp:g.v)
				//g.v.get(i).adj.add(temp);
			/*for(no adjs:g.v.get(i).adj){
				double dist = Math.sqrt(((adjs.x - g.v.get(i).x) * (adjs.x - g.v.get(i).x)) + ((adjs.y - g.v.get(i).y) * (adjs.y - g.v.get(i).y)));
				if(dist>0 && dist<g.v.get(i).dist)
					g.v.get(i).dist=dist;
				*/	
			//}
		}"
168,DECLARATIONSTATEMENT,"",twentyfour.java(98:8-98:17),"int i = 0"
169,BINARYOPERATOR,"<",twentyfour.java(98:19-98:24),"i < n"
170,UNARYOPERATOR,"++",twentyfour.java(98:26-98:29),"i++"
171,VARIABLEDECLARATION,"i",twentyfour.java(98:12-98:17),"i = 0"
172,DECLAREDREFERENCEEXPRESSION,"g",twentyfour.java(99:4-99:5),"g"
173,DECLAREDREFERENCEEXPRESSION,"g",twentyfour.java(113:8-113:9),"g"
174,MEMBERCALLEXPRESSION,"add",twentyfour.java(99:4-99:54),"g.v.add(new no(in.nextDouble(), in.nextDouble()));"
175,DECLAREDREFERENCEEXPRESSION,"i",twentyfour.java(98:26-98:27),"i"
176,DECLAREDREFERENCEEXPRESSION,"add",twentyfour.java(99:8-99:11),"add"
177,NEWEXPRESSION,"",twentyfour.java(99:12-99:52),"new no(in.nextDouble(), in.nextDouble())"
178,MEMBEREXPRESSION,"v",twentyfour.java(99:4-99:7),"g.v"
179,DECLAREDREFERENCEEXPRESSION,"in",twentyfour.java(99:19-99:21),"in"
180,CONSTRUCTEXPRESSION,"",twentyfour.java(99:12-99:52),"new no(in.nextDouble(), in.nextDouble())"
181,CONSTRUCTORDECLARATION,"no",,""
182,MEMBERCALLEXPRESSION,"nextDouble",twentyfour.java(99:36-99:51),"in.nextDouble()"
183,MEMBERCALLEXPRESSION,"nextDouble",twentyfour.java(99:19-99:34),"in.nextDouble()"
184,DECLAREDREFERENCEEXPRESSION,"nextDouble",twentyfour.java(99:22-99:32),"nextDouble"
185,PARAMVARIABLEDECLARATION,"double0",,""
186,DECLAREDREFERENCEEXPRESSION,"in",twentyfour.java(99:36-99:38),"in"
187,DECLAREDREFERENCEEXPRESSION,"nextDouble",twentyfour.java(99:39-99:49),"nextDouble"
188,PARAMVARIABLEDECLARATION,"double1",,""
189,DECLAREDREFERENCEEXPRESSION,"i",twentyfour.java(98:19-98:20),"i"
190,DECLAREDREFERENCEEXPRESSION,"n",twentyfour.java(98:23-98:24),"n"
191,LITERAL,"",twentyfour.java(98:16-98:17),"0"
192,CONSTRUCTEXPRESSION,"",twentyfour.java(97:12-97:22),"new graf()"
193,DECLAREDREFERENCEEXPRESSION,"in",twentyfour.java(95:11-95:13),"in"
194,NEWEXPRESSION,"",twentyfour.java(94:16-94:38),"new Scanner(System.in)"
195,CONSTRUCTEXPRESSION,"",twentyfour.java(94:16-94:38),"new Scanner(System.in)"
196,MEMBEREXPRESSION,"in",twentyfour.java(94:28-94:37),"System.in"
197,NEWEXPRESSION,"",twentyfour.java(97:12-97:22),"new graf()"
198,CONSTRUCTORDECLARATION,"graf",,""
199,METHODDECLARATION,"prim",,""
200,MEMBERCALLEXPRESSION,"get",twentyfour.java(113:11-113:21),"g.v.get(0)"
201,DECLAREDREFERENCEEXPRESSION,"get",twentyfour.java(113:15-113:18),"get"
202,PARAMVARIABLEDECLARATION,"e1",,""
203,LITERAL,"",twentyfour.java(113:19-113:20),"0"
204,MEMBEREXPRESSION,"v",twentyfour.java(113:11-113:14),"g.v"
205,DECLAREDREFERENCEEXPRESSION,"g",twentyfour.java(113:11-113:12),"g"
206,PARAMVARIABLEDECLARATION,"graf0",,""
207,MEMBERCALLEXPRESSION,"nextInt",twentyfour.java(95:11-95:23),"in.nextInt()"
208,DECLAREDREFERENCEEXPRESSION,"nextInt",twentyfour.java(95:14-95:21),"nextInt"
209,DECLAREDREFERENCEEXPRESSION,"println",twentyfour.java(124:14-124:21),"println"
210,STATICCALLEXPRESSION,"format",twentyfour.java(124:22-124:50),"String.format(""%.2f"", count)"
211,DECLAREDREFERENCEEXPRESSION,"count",twentyfour.java(124:44-124:49),"count"
212,LITERAL,"",twentyfour.java(124:36-124:42),"""%.2f"""
213,MEMBEREXPRESSION,"out",twentyfour.java(124:3-124:13),"System.out"
214,VARIABLEDECLARATION,"this",,""
